MetricObserved,Year,IncomeGroup,RegionCode,RegionDisplay,CountryCode,CountryDisplay,SexCode,SexDisplay,Numeric,beer_servings,spirit_servings,wine_servings
Life expectancy at birth (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,61.25205,0,0,0
Life expectancy at birth (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,61.97733,0,0,0
Life expectancy at birth (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,60.51228,0,0,0
Life expectancy at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,60,0,0,0
Life expectancy at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,61,0,0,0
Life expectancy at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,58,0,0,0
Life expectancy at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,55,0,0,0
Life expectancy at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,56,0,0,0
Life expectancy at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,54,0,0,0
Life expectancy at birth (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,49,0,0,0
Life expectancy at birth (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,50,0,0,0
Life expectancy at birth (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,49,0,0,0
Healthy life expectancy (HALE) at birth (years),2013,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,50,0,0,0
Healthy life expectancy (HALE) at birth (years),2013,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,49.5,0,0,0
Healthy life expectancy (HALE) at birth (years),2013,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,50.5,0,0,0
Healthy life expectancy (HALE) at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,48.8,0,0,0
Healthy life expectancy (HALE) at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,48.9,0,0,0
Healthy life expectancy (HALE) at birth (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,48.8,0,0,0
Healthy life expectancy (HALE) at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,44.7,0,0,0
Healthy life expectancy (HALE) at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,44.6,0,0,0
Healthy life expectancy (HALE) at birth (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,44.7,0,0,0
Life expectancy at age 60 (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,15.91239,0,0,0
Life expectancy at age 60 (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,16.64068,0,0,0
Life expectancy at age 60 (years),2013,,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,15.12307,0,0,0
Life expectancy at age 60 (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,16,0,0,0
Life expectancy at age 60 (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,17,0,0,0
Life expectancy at age 60 (years),2012,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,15,0,0,0
Life expectancy at age 60 (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,15,0,0,0
Life expectancy at age 60 (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,16,0,0,0
Life expectancy at age 60 (years),2000,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,14,0,0,0
Life expectancy at age 60 (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,14,0,0,0
Life expectancy at age 60 (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,15,0,0,0
Life expectancy at age 60 (years),1990,Low_income,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,13,0,0,0
Life expectancy at birth (years),2013,,EUR,Europe,ALB,Albania,BTSX,Both sexes,74.13,89,132,54
Life expectancy at birth (years),2013,,EUR,Europe,ALB,Albania,FMLE,Female,75.508,89,132,54
Life expectancy at birth (years),2013,,EUR,Europe,ALB,Albania,MLE,Male,72.82101,89,132,54
Life expectancy at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,74,89,132,54
Life expectancy at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,75,89,132,54
Life expectancy at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,73,89,132,54
Life expectancy at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,70,89,132,54
Life expectancy at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,73,89,132,54
Life expectancy at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,68,89,132,54
Life expectancy at birth (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,69,89,132,54
Life expectancy at birth (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,71,89,132,54
